Year,Artist,Popularity,Track ID,Genre
1952,Hank Williams,50,61GEP8lryEfcuEgBMbRmNi,honky tonk
1952,Dean Martin,49,5aefoUh9oR6nzQdwdp6k14,christmas
1952,Hank Williams,45,1jy7k4URSRJeO0N2aMzj5R,honky tonk
1952,Dean Martin,47,1IAMWO6YGFzwagaGtBSuD1,christmas
1952,Charlie Parker Quartet,47,0cvA7oe0YMEOl5L017P9lq,bebop
1952,Charlie Parker Quartet,46,3vwLF3EZd4LqUqZe8K1C0c,bebop
1952,Bob Crosby,43,6Jtby79XLANUxElQqX69wz,big band
1952,Gene Kelly,42,5fWf6gj5RE9nma0nyOSuZ6,musicals
1952,Bob Crosby,42,2zhmnjI7FfdbYLb2GTIZfm,big band
1952,Bob Crosby,41,3xmvinBIRYJuC595B0ca7W,big band
1952,Dean Martin,42,0VrTy4ScuMoVxp26rLgHpd,christmas
1952,Jackie Gleason,41,0BEGcUB8xzHZa3BQfo6MSM,easy listening
1952,Marty Robbins,39,7K40sZ0ZV6vGjzSso2nFyr,
1952,Les Paul,39,6afQyDHXp0KCyw1O6tSdeG,
1952,Hank Williams,38,0fBOgcY9wZVXgGNANMtp9j,honky tonk
1952,Hank Williams,38,5SfeBRo4MLWyz2w701SJPW,honky tonk
1952,Jean Ritchie,38,4LXd5Oth5vfx5yBsGI6M10,folk
1952,Pérez Prado,46,2bR6zmz0my1a626XJqMhR3,mambo
1952,Nat King Cole,42,26LH7Z7NgqszsBSCvsDjjS,christmas
1952,Jean Ritchie,38,4SB18GrpDOZnLiefQadZCv,folk
1952,Louis Armstrong,43,4I7npxGquBQfADdUJ9JT8I,jazz
1952,Dizzy Gillespie,41,7xZLIErdMaUV0GmtsRclS5,bebop
1952,Bud Powell,41,3g6t47lf7r5Y6M7XRkAhMh,bebop
1952,Gerry Mulligan Quartet,40,2ynGfwePiLptW599QebWbr,cool jazz
1952,Jackie Gleason,39,33haaDXqwsd7wOk75ov0NL,easy listening
1952,Gerry Mulligan Quartet,39,6BavxfUuSOBIhMaEJ6rjNs,cool jazz
1952,Gene Kelly,38,3SBQJ5yP1EmKWD0dqn4RWK,musicals
1952,Gene Kelly,37,0UHrAWfeboiGQlfJloAwbf,musicals
1952,Marty Robbins,36,0lYMgvKnTa5Kh5hyIIR5wO,
1952,Dizzy Gillespie,39,14DEfXQJTnx4VHxU5CI47e,bebop
1952,Donald O'Connor,36,1Uwhu0HNqCjukmsiSSnlsx,musicals
1952,Louis Armstrong,39,1BH2rbqoikRKIZxjMPoqs8,jazz
1952,Jimmy Dorsey,35,2SFwDUPQHYyd32WON29E5i,big band
1952,Betty Noyes,35,4cIIXYpMpKCZSvnQRP5WIR,
1952,Gene Kelly,34,0rmEOQf1gNkGqqpvFSptFp,musicals
1952,Gerry Mulligan Quartet,37,0OqV8yetUbvUA8cgjsgVyl,cool jazz
1952,Stan Kenton & His Orchestra,36,4bdmF5wfL0OSwVLQAWPOjn,big band
1952,Charlie Parker,37,2qkDwUvGAQcxqHWsguEbXV,bebop
1952,Cisco Houston,33,0tWof8xKmUD2V7oQYI4ADN,folk
1952,Charlie Parker Quartet,37,139u1Y921LmWL7wiA3otKM,bebop
